"sampler_name","num_metainference","num_rejuvenation","num_particles","aide_estimate","aide_estimate_standard_error","median_runtime"
"smc",1,2,1,6.273553142678243,0.07100434278811787,1.49565e-5
"smc",1,2,2,2.3862054757789375,0.032365638994741625,2.19275e-5
"smc",1,2,3,1.3644025944374503,0.02153271554815874,2.99645e-5
"smc",1,2,6,0.5182215032566208,0.010943759941440336,5.5059e-5
"smc",1,2,10,0.29808317661096906,0.007813665518942456,8.76825e-5
"smc",1,2,20,0.13491097317619483,0.0052359757442590905,0.0001671935
"smc",1,2,30,0.08724310874643008,0.004250070522831587,0.00024077000000000001
"smc",1,2,60,0.04479123216431787,0.002997059415652507,0.0004891785
"smc",1,2,100,0.02379439989295133,0.002310356100552715,0.0008165795
"smc",10,2,1,5.164965525523262,0.06502919353808254,1.4808e-5
"smc",10,2,2,1.4934222034308193,0.026408916180342162,2.19075e-5
"smc",10,2,3,0.6331344032703579,0.014333120679524575,3.17685e-5
"smc",10,2,6,0.1329255792243915,0.005467252165080452,5.96955e-5
"smc",10,2,10,0.04817468968505569,0.0033278915161054825,8.699700000000001e-5
"smc",10,2,20,0.019181901070994024,0.001976665116959655,0.0002143945
"smc",10,2,30,0.010539169144738642,0.0015008071648273946,0.00025552050000000003
"smc",10,2,60,0.004863297699868492,0.0010003076226294354,0.000479302
"smc",10,2,100,0.002329338336506726,0.0007451891164083457,0.000829563
"smc",1000,2,1,3.775458592864438,0.05339087688373056,3.0347e-5
"smc",1000,2,2,0.8951018774465113,0.01858979530112656,5.0774e-5
"smc",1000,2,3,0.3542922013952691,0.01021734182691989,7.18875e-5
"smc",1000,2,6,0.05975369378317229,0.003543686696362694,6.42075e-5
"smc",1000,2,10,0.01848556363578478,0.0018559012644083963,9.526700000000001e-5
"smc",1000,2,20,0.004082838096567344,0.0008597077129768781,0.00017245500000000001
"smc",1000,2,30,0.0018996541044306965,0.0005735407167911055,0.000256425
"smc",1000,2,60,9.353470675289777e-5,0.0002916887265558208,0.0005130895
"smc",1000,2,100,0.00012666543387650336,0.00017819869123594618,0.000798909
