"proposal_name","num_particles","num_sweeps","aide_estimate","aide_stderr","num_clusters_estimate","num_clusters_stderr"
"prior",1,0,25.939002476996993,0.7974526790017028,3.6370967741935485,0.22390997656530479
"optimal",1,0,10.551723421632452,0.8688757533741186,2.596774193548387,0.12329048959845786
"prior",2,0,19.984290002840105,0.5894134003504501,2.435483870967742,0.171860560875546
"optimal",2,0,9.235812503178499,0.7322447057857042,2.8306451612903225,0.14011804911801104
"prior",4,0,14.68253193438168,0.7349620363157806,2.620967741935484,0.1787243686213154
"optimal",4,0,5.885546297173638,0.5522440261883592,3.088709677419355,0.12119482139532202
"prior",8,0,10.948810592064884,0.6426272869595033,3.024193548387097,0.1684783683996163
"optimal",8,0,3.2582354495345127,0.38342652687606055,3.25,0.1500174830269541
"prior",10,0,7.782075355983555,0.6472957546136209,2.653225806451613,0.14888533953056676
"optimal",10,0,3.146100024244249,0.3004244179207619,3.1129032258064515,0.14448951414658304
"prior",20,0,5.398000807296629,0.6632982029527057,3.370967741935484,0.15968914118257746
"optimal",20,0,1.9017043559570908,0.24191842242009926,3.4516129032258065,0.14318821081884828
"prior",40,0,2.263373141020072,0.36338823944615495,3.6774193548387095,0.16337493666835567
"optimal",40,0,0.8865290773029095,0.21607388688707244,3.435483870967742,0.13267701805648457
"prior",80,0,1.4575242013610883,0.2168367861185729,3.661290322580645,0.1434317220853404
"optimal",80,0,0.9194218712927056,0.14319182440290082,3.9919354838709675,0.16771085219077642
"prior",100,0,1.4251707579723207,0.26123696109621625,3.9193548387096775,0.1750189282759387
"optimal",100,0,0.42484125802351547,0.12847232452638888,3.596774193548387,0.14838909222252641
"prior",1,4,34.54474432258009,1.1942871899374519,4.145161290322581,0.18131059298521848
"optimal",1,4,5.346286650114558,0.4327578468551316,3.9838709677419355,0.1470863409093659
"prior",2,4,21.84158725496599,0.9516195984480911,3.9274193548387095,0.15997860264442135
"optimal",2,4,3.0405149370195392,0.36611670798105933,3.903225806451613,0.13423802446400832
"prior",4,4,12.595809437611702,0.7391037761488897,3.9193548387096775,0.1464667238848236
"optimal",4,4,1.5439326430022802,0.243446094354691,4.056451612903226,0.17751320742034854
"prior",8,4,6.392665167319597,0.5073174054652239,3.814516129032258,0.15293566467639894
"optimal",8,4,0.9320673611368513,0.17349256064098567,3.7338709677419355,0.15239536442355917
"prior",10,4,5.4189046261610265,0.4893592517005129,3.814516129032258,0.15421643414596398
"optimal",10,4,0.5839133580714855,0.15196746076121384,3.6693548387096775,0.13775854227898118
"prior",20,4,2.866982244988106,0.333118143306813,3.870967741935484,0.15657951409720847
"optimal",20,4,0.16555859719634938,0.10928203731832135,3.717741935483871,0.13815714335125126
"prior",40,4,1.1754908884306536,0.22573549971933737,3.879032258064516,0.16459215420946513
"optimal",40,4,0.27674875893794504,0.0815166415426467,3.935483870967742,0.15395048585818263
"prior",80,4,0.7628418716119717,0.13776520713884893,3.846774193548387,0.1751865196258823
"optimal",80,4,0.12357354453129046,0.07711995913667692,3.838709677419355,0.15121983967949634
"prior",100,4,0.4738869497713518,0.1301930521159602,3.879032258064516,0.14868632812728724
"optimal",100,4,0.10297148138009596,0.06596476309769582,3.8870967741935485,0.15668078796724763
